#1:iter	2:compliance	3:duration	4:max_abs_slope_(node)	5:infeas_count_slope_(node)	6:nObj
0 	6563 	0.0584605 	5.73822e-07 	0 	2
1 	390.814 	0.00338171 	0.05 	24 	3
2 	126.215 	0.00353225 	0.05 	22 	4
3 	85.5674 	0.00622813 	0.05 	12 	6
4 	65.2372 	0.00336283 	0.05 	20 	7
5 	58.5498 	0.00607238 	0.05 	15 	9
6 	50.5389 	0.00607237 	0.05 	13 	11
7 	43.1111 	0.00315925 	0.05 	20 	12
8 	40.8105 	0.00316154 	0.05 	20 	13
9 	40.2658 	0.00324637 	0.05 	17 	14
10 	39.9669 	0.00331996 	0.05 	19 	15
11 	39.8131 	0.00328692 	0.05 	19 	16
12 	39.5554 	0.00315858 	0.05 	19 	17
13 	39.3108 	0.00314913 	0.05 	20 	18
14 	39.1013 	0.00329929 	0.05 	20 	19
15 	38.8962 	0.00317904 	0.05 	21 	20
16 	38.8055 	0.00313792 	0.05 	21 	21
17 	38.7128 	0.0031095 	0.05 	20 	22
18 	38.6945 	0.00310154 	0.05 	20 	23
19 	38.6691 	0.00311354 	0.05 	19 	24
20 	38.6615 	0.00333654 	0.05 	19 	25
21 	38.6524 	0.00322125 	0.05 	19 	26
22 	38.646 	0.00323733 	0.05 	19 	27
23 	38.6399 	0.00306183 	0.05 	20 	28
24 	38.6376 	0.00316346 	0.05 	20 	29
25 	38.6356 	0.00313933 	0.05 	20 	30
26 	38.6343 	0.00333654 	0.05 	20 	31
27 	38.6336 	0.00332821 	0.05 	20 	32
28 	38.633 	0.00321429 	0.05 	21 	33
29 	38.6327 	0.0031955 	0.05 	21 	34
30 	38.6324 	0.00307533 	0.05 	21 	35
31 	38.6322 	0.00324983 	0.05 	21 	36
32 	38.6319 	0.00320433 	0.05 	21 	37
33 	38.6314 	0.00322358 	0.05 	21 	38
34 	38.6305 	0.00317212 	0.05 	20 	39
35 	38.6289 	0.0058625 	0.05 	20 	41
