#1:iter	2:compliance	3:duration	4:volume_(density)	5:min_abs_arc_overlap	6:infeas_count_arc_overlap
0 	0.355114 	112.616 	0.268763 	0.00411733 	0
1 	7020.65 	93.974 	0.293048 	0.00891177 	5
2 	0.355038 	87.944 	0.268769 	0.00411772 	0
3 	0.349548 	87.863 	0.269196 	0.00414712 	0
4 	6845.51 	94.506 	0.292299 	0.0139849 	5
5 	0.349486 	87.725 	0.269202 	0.00414756 	0
6 	0.344845 	87.623 	0.269608 	0.00418266 	0
7 	0.301421 	86.812 	0.294393 	0.00473455 	0
8 	0.270303 	86.391 	0.331275 	0.0054064 	0
9 	0.24504 	88.459 	0.383351 	0.00380957 	0
10 	0.239137 	87.523 	0.399788 	0.00333106 	0
11 	0.238394 	86.567 	0.400007 	0.00332037 	0
12 	0.236616 	85.745 	0.400631 	0.00344992 	0
13 	0.235631 	86.522 	0.400285 	0.00339499 	0
14 	0.237063 	86.196 	0.400081 	0.00376349 	0
15 	0.235345 	85.771 	0.400165 	0.00357376 	0
16 	0.23498 	85.654 	0.400003 	0.00419626 	0
17 	0.23411 	86.128 	0.400191 	0.00336326 	0
18 	0.233817 	86.853 	0.400001 	0.0031667 	0
19 	0.233551 	86.87 	0.400001 	0.00283968 	0
20 	0.233079 	86.122 	0.399987 	0.00151 	0
21 	0.232919 	88.901 	0.399993 	0.000787122 	0
22 	0.232732 	90.71 	0.399987 	3.30396e-05 	0
23 	0.232605 	88.551 	0.4 	2.00516e-07 	1
24 	0.232404 	94.622 	0.4 	1.50194e-06 	0
25 	0.232262 	95.131 	0.400001 	2.0561e-05 	0
26 	0.232094 	88.642 	0.399995 	3.54926e-06 	0
27 	0.232028 	89.742 	0.400001 	4.17935e-07 	1
28 	0.231911 	88.547 	0.4 	1.26081e-06 	0
29 	0.231777 	88.468 	0.400002 	2.84558e-06 	0
30 	0.231622 	87.86 	0.400008 	5.65579e-06 	0
31 	0.231508 	87.436 	0.400007 	4.25682e-06 	0
32 	0.231424 	87.817 	0.400003 	3.07832e-05 	0
33 	0.231324 	87.941 	0.400002 	4.63437e-05 	0
34 	0.231189 	88.214 	0.399999 	3.81433e-06 	0
35 	0.231032 	88.109 	0.399995 	5.83111e-06 	0
36 	0.230831 	89.229 	0.399994 	7.04514e-06 	0
37 	0.230662 	89.078 	0.400007 	9.41296e-05 	0
38 	0.230519 	89.231 	0.400005 	5.72426e-07 	1
39 	0.230406 	89.312 	0.400004 	1.0489e-06 	0
40 	0.230288 	89.452 	0.400003 	2.56101e-06 	0
41 	0.230152 	89.587 	0.399999 	4.74498e-06 	0
42 	0.229925 	90.053 	0.399997 	8.95572e-06 	0
43 	0.229554 	90.466 	0.400007 	8.00377e-06 	0
44 	0.229304 	89.775 	0.400015 	1.1758e-06 	0
45 	0.229239 	89.407 	0.400001 	5.0647e-08 	1
46 	0.229166 	89.631 	0.400003 	8.92246e-08 	1
47 	0.229124 	89.436 	0.400001 	7.09175e-08 	1
48 	0.229011 	89.614 	0.400006 	9.18083e-07 	1
49 	0.228902 	89.643 	0.40001 	6.05878e-05 	0
50 	0.228804 	89.637 	0.399999 	0.000187942 	0
51 	0.228673 	90.115 	0.399992 	0.000406568 	0
52 	0.228545 	91.415 	0.399986 	0.000766229 	0
53 	0.228319 	91.85 	0.399937 	0.00145711 	0
54 	0.227956 	91.862 	0.399838 	0.00252542 	0
55 	0.227711 	93.632 	0.399852 	0.00330116 	0
56 	0.227241 	93.423 	0.399998 	0.00283941 	0
57 	0.226721 	96.18 	0.399994 	0.00214183 	0
58 	0.226653 	95.197 	0.400035 	0.00170031 	0
59 	0.22647 	95.828 	0.400011 	0.00187495 	0
60 	0.226184 	94.766 	0.40002 	0.00084744 	0
61 	0.226062 	93.672 	0.400005 	0.000476628 	0
62 	0.225814 	93.325 	0.400002 	0.000266664 	0
63 	0.225723 	93.485 	0.399999 	0.000226699 	0
64 	0.225591 	93.564 	0.399998 	0.000147217 	0
65 	0.225543 	93.248 	0.399996 	0.000118936 	0
66 	0.225483 	93.521 	0.399993 	0.000176224 	0
67 	0.22542 	93.709 	0.399991 	0.000426182 	0
68 	0.225367 	93.825 	0.399997 	0.000661591 	0
69 	0.22533 	93.367 	0.400003 	0.00105584 	0
70 	0.22531 	93.058 	0.400001 	0.00144028 	0
71 	0.225297 	106.801 	0.400002 	0.0016807 	0
72 	0.22528 	120.335 	0.400002 	0.00198652 	0
73 	0.225259 	109.365 	0.400004 	0.00243406 	0
74 	0.225238 	109.695 	0.400004 	0.00299435 	0
75 	0.225221 	107.417 	0.400002 	0.00351829 	0
76 	0.225205 	112.78 	0.400001 	0.00397777 	0
77 	0.22519 	111.729 	0.400001 	0.00440678 	0
78 	0.225174 	112.767 	0.400001 	0.00491728 	0
79 	0.225165 	115.671 	0.400001 	0.00520266 	0
80 	0.225162 	116.7 	0.4 	0.00507867 	0
81 	0.225159 	117.763 	0.4 	0.00495945 	0
82 	0.225152 	121.584 	0.4 	0.00477717 	0
83 	0.225145 	116.639 	0.400001 	0.00455051 	0
84 	0.225138 	119.406 	0.400003 	0.00433507 	0
85 	0.225133 	119.492 	0.400001 	0.0042444 	0
86 	0.225125 	96.567 	0.4 	0.00415583 	0
87 	0.22512 	96.198 	0.4 	0.00409223 	0
88 	0.225115 	92.969 	0.4 	0.00395581 	0
89 	0.225113 	95.83 	0.4 	0.00388951 	0
90 	0.225111 	93.789 	0.4 	0.00387495 	0
91 	0.225105 	94.339 	0.399998 	0.00374517 	0
92 	0.2251 	94.776 	0.4 	0.00376948 	0
93 	0.225096 	94.04 	0.4 	0.00377774 	0
94 	0.225094 	101.336 	0.4 	0.00374691 	0
95 	0.225093 	96.946 	0.4 	0.00376588 	0
96 	0.225091 	93.838 	0.4 	0.00374976 	0
97 	0.225089 	95.436 	0.4 	0.00383042 	0
98 	0.225086 	94.735 	0.4 	0.00386557 	0
99 	0.225085 	93.704 	0.4 	0.00387342 	0
100 	0.225084 	97.394 	0.4 	0.0038873 	0
101 	0.225084 	97.326 	0.4 	0.00390008 	0
102 	0.225083 	94.067 	0.4 	0.00393233 	0
103 	0.225083 	95.031 	0.4 	0.00397483 	0
104 	0.225081 	94.378 	0.4 	0.00411463 	0
105 	0.22508 	95.338 	0.4 	0.00413899 	0
106 	0.225076 	93.816 	0.4 	0.00434398 	0
107 	0.225074 	94.305 	0.4 	0.00473178 	0
108 	0.225072 	96.69 	0.4 	0.00504192 	0
109 	0.225069 	94.27 	0.399999 	0.00510572 	0
110 	0.225066 	94.097 	0.399998 	0.00477206 	0
111 	0.225063 	93.731 	0.399982 	0.00409174 	0
