#1:iter	2:compliance	3:duration	4:volume_(density)	5:min_abs_arc_overlap	6:infeas_count_arc_overlap
0 	0.282685 	106.965 	0.271641 	0.00411733 	0
1 	68.2415 	89.585 	0.278898 	0.0014625 	12
2 	0.277167 	83.525 	0.272126 	0.00412231 	0
3 	67.8499 	89.347 	0.279936 	0.00124335 	12
4 	0.273085 	83.084 	0.272543 	0.00413394 	0
5 	0.239964 	82.436 	0.296269 	0.00436726 	0
6 	0.208094 	81.826 	0.34081 	0.00427655 	0
7 	0.183495 	81.247 	0.398438 	0.00381447 	0
8 	0.182771 	81.517 	0.399998 	0.00373504 	0
9 	0.180397 	82.524 	0.400008 	0.00280264 	0
10 	0.179079 	81.99 	0.400012 	0.00191548 	0
11 	0.17891 	80.36 	0.4 	0.00185154 	0
12 	0.176866 	80.913 	0.400113 	0.000836402 	0
13 	0.176871 	80.918 	0.399999 	0.000853699 	0
14 	0.176675 	80.671 	0.399983 	0.000866466 	0
15 	0.176517 	81.24 	0.399999 	0.000777324 	0
16 	0.176399 	81.622 	0.400007 	0.00062967 	0
17 	0.176353 	81.649 	0.4 	0.000566775 	0
18 	0.176309 	81.336 	0.4 	0.000594643 	0
19 	0.17604 	81.64 	0.399999 	0.00105611 	0
20 	0.175983 	81.535 	0.400001 	0.00125878 	0
21 	0.175889 	81.535 	0.400006 	0.00167901 	0
22 	0.175819 	83.345 	0.400005 	0.00198554 	0
23 	0.175634 	86.918 	0.400031 	0.0019953 	0
24 	0.175483 	85.773 	0.400012 	8.80134e-07 	1
25 	0.175455 	83.669 	0.4 	1.38275e-09 	1
26 	0.175297 	89.967 	0.400009 	0.000286396 	0
27 	0.175216 	89.66 	0.400005 	2.48205e-08 	1
28 	0.175169 	83.432 	0.400002 	3.17224e-07 	1
29 	0.175059 	86.266 	0.400016 	3.4719e-07 	1
30 	0.175012 	83.309 	0.400007 	3.04614e-07 	1
31 	0.174928 	82.935 	0.400004 	1.42137e-06 	0
32 	0.174813 	82.587 	0.399991 	2.46359e-06 	0
33 	0.17465 	82.397 	0.399994 	0.00123136 	0
34 	0.174478 	81.585 	0.399964 	0.005839 	0
35 	0.174423 	81.237 	0.400004 	0.00534559 	0
36 	0.174379 	81.927 	0.400004 	0.00501474 	0
37 	0.174362 	81.49 	0.400001 	0.0047923 	0
38 	0.174322 	81.898 	0.400004 	0.00455693 	0
39 	0.174292 	82.269 	0.400004 	0.00269501 	0
40 	0.174276 	82.484 	0.400003 	0.00140653 	0
41 	0.174264 	82.776 	0.400001 	0.000615791 	0
42 	0.174239 	82.535 	0.400001 	1.89254e-07 	1
43 	0.17417 	82.443 	0.400001 	3.89937e-06 	0
44 	0.1741 	82.43 	0.399995 	6.66783e-06 	0
45 	0.174024 	82.241 	0.400003 	1.1616e-05 	0
46 	0.173988 	81.883 	0.400002 	1.80502e-07 	1
47 	0.173949 	82.078 	0.400003 	2.28189e-07 	1
48 	0.173921 	82.335 	0.400004 	1.0238e-06 	0
49 	0.17389 	82.504 	0.400008 	3.68721e-07 	1
50 	0.173859 	82.78 	0.400009 	9.30006e-07 	1
51 	0.17382 	83.584 	0.40001 	2.46802e-06 	0
52 	0.173804 	83.228 	0.399998 	0.000495913 	0
53 	0.173785 	83.408 	0.399998 	0.00162016 	0
54 	0.173766 	82.94 	0.399996 	0.00390605 	0
55 	0.173753 	82.635 	0.399997 	0.00575308 	0
56 	0.173741 	82.165 	0.399998 	0.00663163 	0
57 	0.17373 	82.781 	0.4 	0.00598841 	0
58 	0.173716 	82.987 	0.4 	0.00494047 	0
59 	0.173694 	83.387 	0.4 	0.0035899 	0
60 	0.173672 	83.474 	0.4 	0.00280308 	0
61 	0.173659 	85.075 	0.400002 	0.00307525 	0
62 	0.173652 	86.136 	0.400001 	0.00381179 	0
63 	0.173646 	84.962 	0.400001 	0.00434698 	0
64 	0.173636 	85.565 	0.400001 	0.00469764 	0
65 	0.173617 	84.411 	0.400001 	0.00444407 	0
66 	0.1736 	83.664 	0.399999 	0.00329684 	0
67 	0.173589 	84.333 	0.4 	0.00179074 	0
68 	0.173584 	84.599 	0.4 	0.000900996 	0
69 	0.173581 	84.153 	0.4 	5.15648e-05 	0
70 	0.173576 	83.733 	0.4 	3.24047e-08 	1
71 	0.173557 	84.264 	0.399998 	1.29756e-07 	1
72 	0.173542 	84.269 	0.4 	4.34107e-07 	1
73 	0.173533 	84.714 	0.400002 	6.64937e-07 	1
74 	0.173531 	83.529 	0.4 	1.35322e-07 	1
75 	0.173527 	83.238 	0.4 	2.5114e-07 	1
76 	0.173521 	83.384 	0.4 	4.45936e-07 	1
77 	0.173511 	99.176 	0.4 	1.09598e-06 	0
78 	0.173499 	106.962 	0.4 	1.04595e-06 	0
79 	0.173488 	97.324 	0.400001 	9.35454e-07 	1
80 	0.173484 	98.47 	0.4 	2.26063e-07 	1
81 	0.173483 	96.165 	0.4 	1.83037e-08 	1
82 	0.173482 	99.185 	0.4 	2.56848e-09 	1
83 	0.173481 	100.309 	0.4 	1.65235e-08 	1
84 	0.17348 	102.887 	0.4 	2.92452e-08 	1
85 	0.173477 	102.208 	0.4 	1.45007e-07 	1
86 	0.173473 	103.712 	0.4 	1.69005e-07 	1
87 	0.173473 	103.556 	0.4 	4.95098e-09 	1
88 	0.173472 	105.859 	0.4 	7.00121e-09 	1
89 	0.173472 	102.233 	0.4 	2.10477e-10 	1
90 	0.173471 	102.293 	0.4 	2.741e-09 	1
91 	0.173469 	106.088 	0.4 	5.7152e-08 	1
92 	0.173466 	115.321 	0.4 	3.01043e-07 	1
93 	0.173464 	99.759 	0.4 	4.24386e-07 	1
94 	0.173463 	88.8 	0.4 	8.16718e-08 	1
95 	0.173463 	86.272 	0.4 	3.52406e-09 	1
96 	0.173462 	84.813 	0.4 	4.15994e-09 	1
97 	0.173461 	86.568 	0.4 	8.38877e-09 	1
98 	0.17346 	85.554 	0.4 	3.61926e-08 	1
99 	0.173458 	85.389 	0.4 	7.63544e-08 	1
100 	0.173457 	85.267 	0.4 	4.38501e-08 	1
101 	0.173457 	85.568 	0.4 	1.07486e-08 	1
102 	0.173456 	85.461 	0.4 	1.1763e-08 	1
103 	0.173455 	93.803 	0.4 	8.75385e-08 	1
104 	0.173453 	86.186 	0.4 	4.52431e-07 	1
105 	0.173451 	86.055 	0.4 	7.04374e-07 	1
106 	0.17345 	86.505 	0.4 	2.31295e-07 	1
107 	0.17345 	85.834 	0.4 	1.95955e-08 	1
108 	0.17345 	85.11 	0.4 	1.20293e-08 	1
109 	0.173449 	87.803 	0.4 	9.45769e-09 	1
110 	0.173449 	89.53 	0.4 	8.70945e-09 	1
111 	0.173448 	85.089 	0.4 	1.50343e-08 	1
112 	0.173447 	86.591 	0.4 	1.68487e-07 	1
113 	0.173446 	86.832 	0.4 	3.70886e-07 	1
114 	0.173446 	86.761 	0.4 	1.0218e-07 	1
115 	0.173446 	86.543 	0.4 	7.63662e-09 	1
116 	0.173446 	85.692 	0.4 	7.7371e-09 	1
117 	0.173445 	88.11 	0.4 	2.73827e-08 	1
118 	0.173445 	89.078 	0.4 	1.34103e-07 	1
119 	0.173444 	85.759 	0.4 	2.83203e-07 	1
120 	0.173443 	86.407 	0.4 	2.96623e-08 	1
121 	0.173442 	85.634 	0.4 	1.58301e-08 	1
122 	0.173442 	85.508 	0.4 	8.21076e-09 	1
123 	0.173442 	87.225 	0.4 	7.13567e-08 	1
124 	0.173441 	86.714 	0.4 	2.44707e-07 	1
125 	0.17344 	86.693 	0.399998 	2.31221e-06 	0
126 	0.173439 	85.439 	0.4 	4.84478e-08 	1
127 	0.173439 	0.06 	0.4 	4.84478e-08 	1
