#1:iter	2:compliance	3:duration	4:volume
0 	191.87 	0 	0.446416
1 	79.6471 	1 	0.547214
2 	48.4037 	0 	0.527332
3 	34.6942 	0 	0.534184
4 	28.4684 	0 	0.527647
5 	23.363 	0 	0.5289
6 	20.5887 	0 	0.529518
7 	20.1514 	0 	0.534191
8 	16.9991 	0 	0.546758
9 	16.0707 	0 	0.539866
10 	15.9697 	0 	0.540806
11 	15.8118 	0 	0.53429
12 	16.0224 	0 	0.541512
13 	15.7835 	0 	0.543182
14 	15.868 	0 	0.537983
15 	15.5919 	1 	0.546074
16 	15.5442 	0 	0.540945
17 	15.3858 	0 	0.546836
18 	15.3782 	0 	0.54413
19 	15.3287 	0 	0.546506
20 	15.32 	0 	0.545655
21 	15.3058 	0 	0.546426
22 	15.2981 	0 	0.545648
23 	15.2841 	0 	0.546622
24 	15.2787 	0 	0.54595
25 	15.2787 	0 	0.54595
