#1:iter	2:compliance	3:duration	4:volume
0 	124.527 	0 	0.379915
1 	93.9722 	0 	0.391918
2 	75.877 	1 	0.391511
3 	63.2451 	0 	0.391514
4 	54.7605 	0 	0.393073
5 	49.8459 	0 	0.395924
6 	46.3155 	0 	0.398342
7 	43.7717 	1 	0.399685
8 	41.8773 	0 	0.399317
9 	40.094 	0 	0.399375
10 	38.495 	0 	0.399331
11 	36.8524 	0 	0.398974
12 	35.1879 	0 	0.398658
13 	33.761 	1 	0.398154
14 	32.3757 	0 	0.398512
15 	31.1459 	0 	0.398976
16 	29.9547 	0 	0.399166
17 	28.9773 	0 	0.399521
18 	28.2112 	1 	0.399513
19 	27.587 	0 	0.399763
20 	27.6788 	0 	0.398608
21 	26.8015 	0 	0.398639
22 	26.6944 	0 	0.398721
23 	26.0169 	0 	0.398971
24 	25.952 	1 	0.399145
25 	25.67 	0 	0.399307
26 	25.51 	0 	0.399806
27 	25.4336 	0 	0.399788
28 	25.6459 	0 	0.40128
29 	25.4181 	0 	0.402368
30 	25.6162 	1 	0.401142
31 	25.5016 	0 	0.400469
32 	25.4596 	0 	0.400089
33 	25.3643 	0 	0.399979
34 	25.2849 	0 	0.400375
35 	25.2905 	1 	0.400117
36 	25.2187 	0 	0.400035
37 	25.2077 	0 	0.399921
38 	25.1753 	0 	0.399871
39 	25.154 	0 	0.399885
40 	25.1375 	0 	0.39993
