#1:iter	2:compliance	3:duration	4:volume_(density)
0 	39.6161 	0.24 	0.466926
1 	35.8962 	0.115 	0.49085
2 	34.954 	0.04 	0.487844
3 	33.9877 	0.04 	0.494503
4 	35.0933 	0.04 	0.498478
5 	33.7886 	0.04 	0.497833
6 	34.1906 	0.041 	0.499519
7 	33.5593 	0.039 	0.499469
8 	33.8364 	0.04 	0.499522
9 	33.4897 	0.04 	0.499275
10 	33.5927 	0.041 	0.500353
11 	33.4194 	0.039 	0.49961
12 	33.4595 	0.039 	0.49977
13 	33.3861 	0.041 	0.499632
14 	33.423 	0.04 	0.499789
15 	33.3782 	0.04 	0.499698
16 	33.3659 	0.041 	0.500036
17 	33.3454 	0.04 	0.50005
18 	33.3404 	0.04 	0.500006
19 	33.3374 	0.076 	0.499979
20 	33.3309 	0.04 	0.500005
