#1:iter	2:compliance	3:duration	4:volume_(density)	5:max_abs_slope_(node)	6:infeas_count_slope_(node)	7:max_abs_curvature_(node)	8:infeas_count_curvature_(node)	9:max_abs_curvature_(profile)	10:infeas_count_curvature_(profile)	11:nObj
0 	111.26 	0.222038 	0.20488 	0.03 	0 	1.11022e-16 	0 	0 	0 	1
1 	51.8988 	0.106161 	0.301246 	0.0266239 	0 	0.00304931 	0 	0.00227409 	0 	2
2 	49.8964 	0.104687 	0.297736 	0.0254068 	0 	0.00287019 	0 	0.00264677 	0 	3
3 	43.1383 	0.106763 	0.371627 	0.0346545 	0 	0.00395869 	0 	0.00890301 	0 	4
4 	36.8394 	0.107425 	0.307435 	0.0489262 	0 	0.00483449 	0 	0.00730384 	0 	5
5 	33.9173 	0.102936 	0.29743 	0.0560134 	0 	0.00587314 	0 	0.00755022 	0 	6
6 	32.9352 	0.102317 	0.299073 	0.0564379 	0 	0.00545402 	0 	0.00612937 	0 	7
7 	32.5501 	0.102868 	0.300506 	0.0567199 	0 	0.00774441 	0 	0.00702276 	0 	8
8 	32.4389 	0.10323 	0.299835 	0.059666 	0 	0.0131974 	0 	0.0079779 	0 	9
9 	32.2832 	0.107025 	0.298999 	0.0681293 	0 	0.0237864 	0 	0.0118836 	0 	10
