#1:iter	2:compliance	3:duration	4:volume_(density)	5:max_abs_slope_(node)	6:infeas_count_slope_(node)	7:max_abs_curvature_(node)	8:infeas_count_curvature_(node)	9:max_abs_curvature_(profile)	10:infeas_count_curvature_(profile)	11:nObj
0 	110.701 	0.17386 	0.204992 	0.03 	0 	1.11022e-16 	0 	0 	0 	1
1 	51.8473 	0.0843678 	0.301041 	0.0264089 	0 	0.00307629 	0 	0.00233215 	0 	2
2 	49.8468 	0.087296 	0.297846 	0.0253207 	0 	0.00290446 	0 	0.00268465 	0 	3
3 	43.3017 	0.0828512 	0.367616 	0.0314269 	0 	0.00388061 	0 	0.0100922 	0 	4
4 	37.2495 	0.0816428 	0.308683 	0.0479272 	0 	0.00509699 	0 	0.00624738 	0 	5
5 	34.2505 	0.0818098 	0.2975 	0.0545161 	0 	0.0049174 	0 	0.00770307 	0 	6
6 	33.1516 	0.0816179 	0.297311 	0.059404 	0 	0.00603261 	0 	0.00779466 	0 	7
7 	32.6193 	0.081561 	0.300436 	0.0585298 	0 	0.00802644 	0 	0.00825355 	0 	8
8 	32.5155 	0.0811221 	0.299798 	0.0615597 	0 	0.0113742 	0 	0.00726808 	0 	9
9 	32.3675 	0.0808583 	0.297919 	0.0758306 	0 	0.0285362 	0 	0.0136136 	0 	10
