#1:iter	2:compliance	3:duration	4:volume_(density)	5:max_abs_slope_(node)	6:infeas_count_slope_(node)	7:max_abs_curvature_(node)	8:infeas_count_curvature_(node)	9:max_abs_curvature_(profile)	10:infeas_count_curvature_(profile)	11:nObj
0 	102.89 	0.178649 	0.22154 	0.03 	0 	1.11022e-16 	0 	0 	0 	1
1 	56.3009 	0.0882221 	0.294884 	0.0251919 	0 	0.00250787 	0 	0.00108692 	0 	2
2 	52.674 	0.0850909 	0.298408 	0.0252346 	0 	0.00248278 	0 	0.00114466 	0 	3
3 	39.6095 	0.0848967 	0.32902 	0.0347058 	0 	0.00604525 	0 	0.00910534 	0 	4
4 	40.9899 	0.0836979 	0.293587 	0.0510753 	0 	0.00749021 	0 	0.00619629 	0 	5
5 	36.5308 	0.0838105 	0.274951 	0.0771247 	0 	0.0122221 	0 	0.025362 	0 	6
6 	32.8083 	0.0838395 	0.303245 	0.0668433 	0 	0.012347 	0 	0.0108301 	0 	7
7 	32.5898 	0.0837149 	0.299436 	0.0685813 	0 	0.014507 	0 	0.00879172 	0 	8
8 	32.3509 	0.0926428 	0.300728 	0.0782046 	0 	0.0297256 	0 	0.0213552 	0 	9
9 	32.1155 	0.0842198 	0.299938 	0.0663332 	0 	0.0192741 	0 	0.0109868 	0 	10
