#1:iter	2:compliance	3:duration	4:volume
0 	144.373 	1 	0.508377
1 	86.5572 	0 	0.456975
2 	167.952 	0 	0.471164
3 	75.1945 	0 	0.463773
4 	65.0143 	0 	0.491911
5 	69.2541 	0 	0.472059
6 	58.551 	0 	0.49976
7 	55.4801 	0 	0.499826
8 	54.7829 	0 	0.494015
9 	50.3402 	0 	0.49911
10 	48.8891 	1 	0.498587
11 	46.9699 	0 	0.498649
12 	45.1294 	0 	0.495219
13 	42.244 	0 	0.499136
14 	40.5431 	0 	0.499791
15 	39.6404 	0 	0.500233
16 	37.3379 	0 	0.498735
17 	34.9825 	0 	0.498992
18 	33.1793 	0 	0.498599
19 	30.8962 	0 	0.50236
20 	30.4652 	0 	0.500325
21 	30.1084 	0 	0.500008
22 	29.3801 	0 	0.499799
23 	28.9605 	0 	0.499449
24 	29.3911 	0 	0.499978
25 	27.3541 	0 	0.500913
26 	28.974 	0 	0.49998
27 	27.0585 	0 	0.499751
28 	27.0815 	0 	0.499585
29 	26.5377 	0 	0.500544
30 	26.5141 	0 	0.499363
31 	26.3734 	0 	0.499701
32 	26.3099 	0 	0.499999
33 	26.3174 	0 	0.499684
34 	26.2873 	0 	0.499844
35 	26.2492 	0 	0.500079
36 	26.2383 	0 	0.49986
