#1:iter	2:compliance	3:duration	4:max_abs_slope_(node)	5:infeas_count_slope_(node)	6:max_abs_curvature_(node)	7:infeas_count_curvature_(node)	8:max_abs_curvature_(profile)	9:infeas_count_curvature_(profile)	10:volume	11:nObj
0 	389.087 	0.0608007 	0 	0 	0 	0 	0 	0 	0.443163 	1
1 	449.979 	0.0056205 	0.055 	10 	0.01 	15 	0.01 	5 	0.391443 	2
2 	426.308 	0.0201099 	0.0545493 	0 	0.01 	1 	0.01 	3 	0.392332 	6
3 	132.871 	0.00590046 	0.0500854 	0 	0.01 	12 	0.01 	6 	0.43378 	7
4 	105.343 	0.00587729 	0.0395935 	0 	0.01 	6 	0.01 	7 	0.447215 	8
5 	81.9426 	0.005718 	0.0409507 	0 	0.01 	5 	0.01 	7 	0.467353 	9
6 	72.5372 	0.0059335 	0.0473595 	0 	0.01 	3 	0.01 	7 	0.481969 	10
7 	68.7 	0.00579221 	0.0501231 	0 	0.01 	5 	0.01 	6 	0.490323 	11
8 	64.2934 	0.00548729 	0.0538714 	0 	0.01 	7 	0.01 	5 	0.499555 	12
9 	63.408 	0.00543542 	0.055 	0 	0.01 	6 	0.01 	5 	0.499899 	13
10 	62.8614 	0.0054115 	0.055 	0 	0.01 	5 	0.01 	5 	0.499974 	14
11 	62.853 	0.0102322 	0.055 	0 	0.01 	5 	0.01 	5 	0.5 	16
12 	61.4882 	0.00551429 	0.055 	0 	0.01 	6 	0.01 	7 	0.500023 	17
13 	59.5749 	0.0052855 	0.055 	0 	0.01 	8 	0.01 	7 	0.500595 	18
14 	59.4422 	0.0054065 	0.055 	0 	0.01 	7 	0.01 	6 	0.499994 	19
15 	56.886 	0.00529925 	0.055 	0 	0.01 	8 	0.01 	7 	0.499757 	20
16 	55.9183 	0.00528883 	0.055 	0 	0.01 	8 	0.01 	7 	0.49658 	21
17 	53.697 	0.00544763 	0.055 	0 	0.01 	8 	0.01 	7 	0.499201 	22
18 	52.071 	0.00528508 	0.055 	0 	0.01 	7 	0.01 	9 	0.499047 	23
19 	49.2696 	0.005366 	0.055 	0 	0.01 	8 	0.01 	6 	0.500316 	24
20 	45.5249 	0.00532396 	0.055 	0 	0.01 	12 	0.01 	7 	0.501175 	25
21 	44.7939 	0.00580067 	0.055 	0 	0.01 	9 	0.01 	6 	0.499851 	26
22 	43.0781 	0.00575071 	0.055 	0 	0.01 	11 	0.01 	6 	0.499714 	27
23 	41.3446 	0.005714 	0.055 	1 	0.01 	10 	0.01 	7 	0.49919 	28
24 	40.3587 	0.005648 	0.055 	2 	0.01 	10 	0.01 	10 	0.499807 	29
25 	39.8924 	0.00581354 	0.055 	2 	0.01 	10 	0.01 	9 	0.499978 	30
26 	38.2501 	0.0212731 	0.055 	1 	0.01 	6 	0.01 	6 	0.498985 	34
27 	36.4945 	0.0265468 	0.055 	1 	0.01 	4 	0.01 	4 	0.497532 	39
28 	33.8887 	0.00573467 	0.055 	10 	0.01 	11 	0.01 	7 	0.503704 	40
29 	31.4853 	0.010407 	0.055 	4 	0.01 	6 	0.01 	4 	0.502812 	42
30 	29.441 	0.0110207 	0.055 	2 	0.01 	1 	0.01 	3 	0.512556 	44
31 	27.301 	0.00547392 	0.055 	13 	0.01 	6 	0.01 	8 	0.494622 	45
32 	26.1386 	0.00541608 	0.055 	10 	0.01 	4 	0.01 	10 	0.500941 	46
33 	25.6288 	0.00546537 	0.055 	13 	0.01 	4 	0.01 	9 	0.501799 	47
34 	25.62 	0.00533992 	0.055 	13 	0.01 	4 	0.01 	9 	0.500275 	48
35 	25.5234 	0.00534729 	0.055 	12 	0.01 	4 	0.01 	10 	0.500729 	49
36 	25.2935 	0.00530971 	0.055 	12 	0.01 	4 	0.01 	9 	0.500537 	50
37 	25.2338 	0.00542875 	0.055 	12 	0.01 	4 	0.01 	10 	0.500274 	51
38 	25.206 	0.00534346 	0.055 	12 	0.01 	4 	0.01 	10 	0.49996 	52
39 	25.1701 	0.00551212 	0.055 	13 	0.01 	4 	0.01 	9 	0.500119 	53
40 	25.1708 	0.00540371 	0.055 	12 	0.01 	4 	0.01 	9 	0.5 	54
41 	25.1632 	0.00531292 	0.055 	13 	0.01 	4 	0.01 	8 	0.499993 	55
42 	25.1614 	0.00529212 	0.055 	13 	0.01 	4 	0.01 	8 	0.500002 	56
43 	25.1613 	0.00532079 	0.055 	13 	0.01 	4 	0.01 	7 	0.5 	57
44 	25.1608 	0.00522771 	0.055 	13 	0.01 	4 	0.01 	9 	0.500001 	58
45 	25.1605 	0.00562596 	0.055 	13 	0.01 	4 	0.01 	9 	0.499999 	59
46 	25.1601 	0.00553321 	0.055 	13 	0.01 	4 	0.01 	9 	0.500001 	60
47 	25.1601 	0.00532742 	0.055 	13 	0.01 	4 	0.01 	9 	0.5 	61
48 	25.1601 	0.005417 	0.055 	13 	0.01 	4 	0.01 	9 	0.5 	62
49 	25.1601 	0.00535137 	0.055 	13 	0.01 	4 	0.01 	9 	0.5 	63
50 	25.1601 	0.00532204 	0.055 	13 	0.01 	4 	0.01 	9 	0.5 	64
