#1:iter	2:compliance	3:duration	4:volume	5:globalStress_inner
0 	1.69553 	0.158 	0.99 	0.406501
1 	19.4821 	0.015 	0.5 	90.6846
2 	10.0378 	0.005 	0.5 	53.4901
3 	6.82491 	0.005 	0.5 	33.8062
4 	4.60511 	0.005 	0.5 	11.4909
5 	4.03266 	0.005 	0.5 	4.05726
6 	3.98373 	0.005 	0.5 	1.3045
7 	4.00388 	0.005 	0.5 	0.376946
8 	4.03383 	0.005 	0.5 	0.11414
9 	3.98749 	0.004 	0.5 	0.0328972
10 	3.92201 	0.005 	0.5 	0.00972111
11 	3.89734 	0.005 	0.5 	0.004184
12 	3.89746 	0.005 	0.5 	0.0017647
13 	3.88482 	0.005 	0.5 	0.00060104
14 	3.8853 	0.004 	0.5 	0.000284837
15 	3.8741 	0.005 	0.5 	0.000183217
16 	3.85859 	0.005 	0.5 	0.000272576
17 	3.85713 	0.005 	0.5 	0.000151196
18 	3.85696 	0.005 	0.5 	0.000110413
19 	3.85655 	0.005 	0.5 	0.00010131
20 	3.85617 	0.005 	0.5 	0.000107931
21 	3.85638 	0.004 	0.5 	0.000100173
22 	3.85638 	0.005 	0.5 	0.000100045
23 	3.85638 	0.005 	0.5 	0.000100014
24 	3.85637 	0.005 	0.5 	0.000100052
25 	3.85637 	0.004 	0.5 	0.000100026
26 	3.85637 	0.006 	0.5 	0.000100001
27 	3.85637 	0.005 	0.5 	0.00010002
28 	3.85637 	0.005 	0.5 	0.0001
29 	3.85637 	0.005 	0.5 	0.0001
30 	3.85637 	0.006 	0.5 	0.0001
31 	3.85637 	0.004 	0.5 	0.0001
32 	3.85637 	0.006 	0.5 	0.0001
