#1:iter	2:compliance	3:duration	4:volume	5:max_abs_localStress_inner	6:infeas_localStress_inner
0 	1.64517 	0.2 	1 	2.72036 	4
1 	19.4887 	0.014 	0.5 	12.4314 	4
2 	10.7463 	0.007 	0.5 	9.3513 	4
3 	8.00332 	0.006 	0.5 	7.01279 	4
4 	5.09251 	0.006 	0.5 	3.86571 	4
5 	4.87703 	0.007 	0.5 	2.40836 	3
6 	4.54391 	0.005 	0.5 	2.06034 	3
7 	4.28054 	0.006 	0.5 	2.00744 	3
8 	4.11704 	0.006 	0.5 	2.00456 	3
9 	4.06769 	0.005 	0.5 	2.0008 	2
10 	3.99083 	0.005 	0.5 	2.00255 	2
11 	3.93205 	0.005 	0.5 	2.00323 	2
12 	3.91135 	0.006 	0.5 	2.00184 	2
13 	3.89747 	0.005 	0.5 	2.00053 	4
14 	3.89458 	0.006 	0.5 	2.00003 	3
15 	3.85862 	0.006 	0.5 	2.01251 	4
16 	3.86085 	0.005 	0.5 	2.00254 	4
17 	3.86194 	0.005 	0.5 	2.00015 	4
18 	3.86201 	0.005 	0.5 	2 	4
19 	3.86197 	0.006 	0.5 	2.00008 	4
20 	3.86201 	0.007 	0.5 	2 	4
