#1:iter	2:compliance	3:duration	4:volume	5:max_abs_localStress_inner	6:infeas_localStress_inner
0 	1.64517 	0.445 	1 	2.72036 	4
1 	3.54039 	0.043 	0.5 	4.96563 	4
2 	2.92721 	0.028 	0.5 	4.03793 	4
3 	2.65857 	0.031 	0.5 	3.19724 	4
4 	2.38133 	0.034 	0.5 	2.1508 	3
5 	2.33923 	0.035 	0.5 	2.01417 	3
6 	2.3266 	0.038 	0.5 	2.00622 	3
7 	2.32468 	0.041 	0.5 	1.99395 	0
8 	2.31838 	0.042 	0.5 	2.00288 	3
9 	2.31534 	0.046 	0.5 	2.00307 	3
10 	2.31881 	0.045 	0.5 	2.01055 	1
11 	2.31531 	0.051 	0.5 	2.0034 	1
12 	2.31443 	0.053 	0.5 	2.0001 	2
