#1:iter	2:freq	3:globalDynamicCompliance	4:duration	5:volume
0 	200.0 	1.80678 	0.121 	0.5
1 	200.0 	17.0658 	0.011 	0.5
2 	200.0 	1.22122 	0.01 	0.5
3 	200.0 	0.24384 	0.011 	0.5
4 	200.0 	0.201195 	0.01 	0.5
5 	200.0 	267.249 	0.011 	0.5
6 	200.0 	0.395996 	0.011 	0.5
7 	200.0 	0.219145 	0.01 	0.5
8 	200.0 	0.22653 	0.011 	0.5
9 	200.0 	0.203642 	0.011 	0.5
10 	200.0 	0.189483 	0.011 	0.5
11 	200.0 	0.185274 	0.011 	0.5
12 	200.0 	0.205733 	0.012 	0.5
13 	200.0 	0.20634 	0.011 	0.5
14 	200.0 	0.190566 	0.01 	0.5
15 	200.0 	0.184533 	0.011 	0.5
16 	200.0 	0.190714 	0.011 	0.5
17 	200.0 	0.194918 	0.011 	0.5
18 	200.0 	0.186354 	0.011 	0.5
19 	200.0 	0.181177 	0.01 	0.5
20 	200.0 	0.179048 	0.011 	0.5
