#1:iter	2:compliance	3:duration	4:volume	5:lambda	6:lambda_iters	7:lower	8:upper
0 	171.747 	1 	0.5 	0 	0 	0 	0
1 	110.5 	0 	0.500001 	663.543 	22 	663.543 	663.567
2 	81.3686 	0 	0.5 	558.514 	18 	558.51 	558.514
3 	68.1108 	1 	0.499999 	416.429 	17 	416.422 	416.429
4 	61.5217 	0 	0.5 	336.756 	18 	336.754 	336.756
5 	56.4772 	0 	0.5 	285.813 	14 	285.813 	285.844
6 	53.3534 	1 	0.5 	242.446 	12 	242.446 	242.55
7 	51.2482 	0 	0.499999 	214.182 	12 	214.093 	214.182
8 	49.7542 	0 	0.500001 	194.522 	16 	194.522 	194.527
9 	48.5483 	0 	0.5 	179.479 	17 	179.477 	179.479
10 	47.497 	1 	0.499999 	169.076 	16 	169.072 	169.076
11 	46.5584 	0 	0.500001 	162.198 	14 	162.198 	162.214
12 	45.7523 	0 	0.5 	154.115 	14 	154.1 	154.115
13 	45.0022 	0 	0.500001 	149.553 	13 	149.553 	149.581
14 	44.3123 	1 	0.5 	147.286 	16 	147.286 	147.289
15 	43.8028 	0 	0.5 	142.73 	15 	142.73 	142.737
16 	43.4848 	0 	0.500001 	136.741 	14 	136.741 	136.754
17 	43.3008 	1 	0.5 	131.635 	15 	131.629 	131.635
18 	43.1841 	0 	0.5 	129.571 	13 	129.546 	129.571
19 	43.1042 	0 	0.5 	128.41 	15 	128.41 	128.416
20 	43.0485 	0 	0.5 	127.031 	9 	127.031 	127.407
