#1:iter	2:compliance	3:duration	4:volume	5:globalDesign	6:nObj
0 	109.991 	0.088 	0.4 	0 	2
1 	88.3065 	0.005 	0.4 	0 	3
2 	49.4081 	0.004 	0.4 	0.866637 	4
3 	46.4329 	0.004 	0.4 	0.400758 	5
4 	45.7269 	0.004 	0.4 	0.253407 	6
5 	45.4623 	0.006 	0.4 	0.165914 	8
6 	45.3421 	0.005 	0.4 	0.127554 	10
7 	45.4503 	0.006 	0.4 	0.0874048 	12
8 	45.4276 	0.006 	0.4 	0.0675316 	14
9 	45.2986 	0.007 	0.4 	0.0586554 	16
10 	45.1065 	0.007 	0.4 	0.0510987 	18
11 	45.0358 	0.006 	0.4 	0.0433474 	20
12 	45.0061 	0.007 	0.4 	0.0389181 	22
13 	45.3571 	0.008 	0.4 	0.0249491 	24
14 	45.4956 	0.007 	0.4 	0.019784 	26
15 	45.6977 	0.008 	0.4 	0.0137114 	28
16 	45.8285 	0.008 	0.4 	0.0101501 	30
17 	46.1255 	0.005 	0.4 	0.00372465 	31
18 	46.0952 	0.006 	0.4 	0.00309338 	32
19 	46.0585 	0.008 	0.4 	0.00274544 	34
20 	45.9896 	0.009 	0.4 	0.00236721 	36
21 	45.9232 	0.009 	0.4 	0.00224871 	38
22 	45.8614 	0.009 	0.4 	0.00224319 	40
23 	45.8422 	0.009 	0.4 	0.00214023 	42
24 	45.8808 	0.01 	0.4 	0.00175249 	44
25 	45.9461 	0.006 	0.4 	0.00122142 	45
26 	45.9352 	0.007 	0.4 	0.00111379 	46
27 	45.9 	0.01 	0.4 	0.00117187 	48
28 	45.8733 	0.007 	0.4 	0.00117025 	49
29 	45.8451 	0.01 	0.4 	0.00119049 	51
30 	45.8451 	0.005 	0.4 	0.00119049 	52
