#1:iter	2:compliance	3:duration	4:volume	5:lambda	6:lambda_iters	7:lower	8:upper
0 	83.6417 	0.14 	0.5 	0 	0 	0 	0
1 	53.9293 	0.004 	0.5 	347.015 	25 	347.015 	347.018
2 	40.6026 	0.004 	0.5 	283.095 	17 	283.091 	283.095
3 	33.6502 	0.003 	0.5 	220.013 	18 	220.011 	220.013
4 	29.7383 	0.004 	0.5 	174.573 	18 	174.572 	174.573
5 	27.2308 	0.003 	0.499999 	144.44 	11 	144.312 	144.44
6 	25.9141 	0.004 	0.5 	118.079 	17 	118.079 	118.081
7 	25.2094 	0.004 	0.499999 	105.795 	14 	105.784 	105.795
8 	24.7746 	0.003 	0.499999 	99.2802 	16 	99.2778 	99.2802
9 	24.4567 	0.004 	0.499999 	96.7663 	16 	96.764 	96.7663
10 	24.2241 	0.003 	0.5 	93.9328 	15 	93.9328 	93.9372
