#1:iter	2:slack	3:duration	4:compliance	5:compliance	6:volume
0 	0.5 	0 	35.6801 	35.6801 	0.5
1 	0.467117 	0 	22.4988 	22.4988 	0.461724
2 	0.552579 	0 	16.0809 	16.0809 	0.487135
3 	0.646517 	0 	13.6083 	13.6083 	0.491658
4 	0.761096 	0 	11.9698 	11.9698 	0.493377
5 	0.897542 	0 	10.859 	10.859 	0.495422
6 	1.06078 	0 	10.1625 	10.1625 	0.496712
7 	1.24817 	1 	9.52327 	9.52327 	0.495832
8 	1.45908 	0 	8.88678 	8.88678 	0.495602
9 	1.70188 	0 	8.39662 	8.39662 	0.496349
10 	1.98514 	0 	8.08335 	8.08335 	0.497415
11 	2.31282 	0 	7.88925 	7.88925 	0.498358
12 	2.68752 	0 	7.76356 	7.76356 	0.498862
13 	3.1109 	0 	7.67889 	7.67889 	0.499218
14 	3.58647 	0 	7.63147 	7.63147 	0.499537
15 	4.11173 	0 	7.59819 	7.59819 	0.499624
16 	4.68037 	0 	7.57489 	7.57489 	0.49974
17 	5.27633 	0 	7.5557 	7.5557 	0.49976
18 	5.86885 	0 	7.53981 	7.53981 	0.499812
19 	6.40758 	0 	7.52412 	7.52412 	0.499799
20 	6.83253 	0 	7.50184 	7.50184 	0.499686
21 	7.22326 	0 	7.4575 	7.4575 	0.499364
22 	7.3995 	0 	7.41684 	7.41684 	0.499566
23 	7.4024 	0 	7.40124 	7.40124 	0.499909
24 	7.39816 	0 	7.39765 	7.39765 	0.499965
25 	7.39573 	0 	7.39519 	7.39519 	0.499967
