#1:iter	2:multiObjectiveValue	3:compliance	4:plain_greyness	5:plain_greyness_penalty	6:objective_0	7:objective_1	8:duration	9:volume	10:greyness	11:fscale
0 	8.76246 	8.76246 	0.959518 	0.918757 	8.76246 	8.76246 	0.077 	0.4 	0.959518	 0.000000
1 	8.76246 	8.76246 	0.959518 	0.918757 	8.76246 	8.76246 	0.004 	0.4 	0.88922	 0.000000
2 	7.21989 	7.21989 	0.878352 	0.769747 	7.21989 	7.21989 	0.002 	0.366574 	0.848391	 0.000000
3 	6.64083 	6.29342 	0.819499 	0.669941 	6.29342 	6.64083 	0.003 	0.38487 	0.784726	 0.518561
4 	6.54728 	5.87992 	0.732212 	0.534671 	5.87992 	6.54728 	0.003 	0.39147 	0.733431	 1.248155
5 	6.80379 	5.75828 	0.657792 	0.431376 	5.75828 	6.80379 	0.003 	0.395229 	0.678899	 2.423647
6 	7.21096 	5.76295 	0.580993 	0.336392 	5.76295 	7.21096 	0.002 	0.395676 	0.641292	 4.304549
7 	7.47885 	5.78789 	0.52577 	0.275383 	5.78789 	7.47885 	0.003 	0.396324 	0.600629	 6.140406
8 	7.59369 	5.86426 	0.456611 	0.207582 	5.86426 	7.59369 	0.003 	0.393592 	0.538827	 8.331352
9 	7.19856 	6.05801 	0.339782 	0.114773 	6.05801 	7.19856 	0.003 	0.389547 	0.516141	 9.937420
10 	6.78655 	5.95304 	0.276564 	0.0759353 	5.95304 	6.78655 	0.002 	0.395601 	0.495004	 10.976571
11 	6.6068 	5.96836 	0.228779 	0.0518831 	5.96836 	6.6068 	0.003 	0.398359 	0.485418	 12.305301
12 	6.53881 	5.9666 	0.198219 	0.0388952 	5.9666 	6.53881 	0.003 	0.398814 	0.4771	 14.711784
13 	6.46517 	5.98136 	0.16424 	0.0266472 	5.98136 	6.46517 	0.003 	0.39903 	0.471727	 18.156061
14 	6.36363 	5.99197 	0.133022 	0.0174297 	5.99197 	6.36363 	0.002 	0.399236 	0.471922	 21.323351
15 	6.32032 	5.97107 	0.119671 	0.0140829 	5.97107 	6.32032 	0.003 	0.399666 	0.470509	 24.799283
16 	6.32194 	5.97395 	0.107056 	0.0112479 	5.97395 	6.32194 	0.003 	0.399702 	0.469842	 30.938379
17 	6.30461 	5.97372 	0.0937692 	0.00860612 	5.97372 	6.30461 	0.003 	0.399673 	0.467723	 38.448002
18 	6.23068 	5.98524 	0.075102 	0.00549111 	5.98524 	6.23068 	0.003 	0.399714 	0.471248	 44.697526
19 	6.22786 	5.96218 	0.0741645 	0.00535304 	5.96218 	6.22786 	0.002 	0.39978 	0.468944	 49.631061
20 	6.26852 	5.95948 	0.0671966 	0.00438199 	5.95948 	6.26852 	0.004 	0.39977 	0.461814	 70.525242
21 	6.17781 	6.00793 	0.0472583 	0.00213983 	6.00793 	6.17781 	0.003 	0.399344 	0.466097	 79.390482
22 	6.10697 	5.95916 	0.042895 	0.00175519 	5.95916 	6.10697 	0.002 	0.399471 	0.463655	 84.213538
23 	6.09719 	5.96599 	0.0388067 	0.00142934 	5.96599 	6.09719 	0.003 	0.399924 	0.46306	 91.795561
24 	6.12805 	5.96917 	0.0376499 	0.00134322 	5.96917 	6.12805 	0.003 	0.399991 	0.460329	 118.285605
25 	6.20654 	5.9924 	0.0332493 	0.00104002 	5.9924 	6.20654 	0.003 	0.3999 	0.450914	 205.902832
26 	6.16792 	6.10919 	0.0172725 	0.000264795 	6.10919 	6.16792 	0.003 	0.399298 	0.462463	 221.801767
27 	6.34174 	5.97863 	0.0404732 	0.00155813 	5.97863 	6.34174 	0.003 	0.399301 	0.447069	 233.046642
28 	6.23319 	6.19467 	0.0138563 	0.000165284 	6.19467 	6.23319 	0.003 	0.39882 	0.464092	 233.046642
29 	6.84728 	5.99458 	0.0607506 	0.00357013 	5.99458 	6.84728 	0.003 	0.397718 	0.446863	 238.844259
30 	6.25064 	6.21669 	0.0129214 	0.00014212 	6.21669 	6.25064 	0.003 	0.398168 	0.457971	 238.844259
31 	6.45559 	6.04135 	0.0425498 	0.00172639 	6.04135 	6.45559 	0.003 	0.398542 	0.44709	 239.942990
32 	6.23239 	6.19214 	0.0139519 	0.000167752 	6.19214 	6.23239 	0.003 	0.398897 	0.451506	 239.942990
33 	6.23785 	6.09689 	0.0250951 	0.000580574 	6.09689 	6.23785 	0.003 	0.399437 	0.450458	 242.788168
34 	6.18683 	6.10085 	0.0198183 	0.000354128 	6.10085 	6.18683 	0.003 	0.399919 	0.451066	 242.788168
35 	6.18513 	6.09014 	0.0203008 	0.00037252 	6.09014 	6.18513 	0.003 	0.399961 	0.451312	 254.977011
36 	6.21094 	6.08578 	0.0197005 	0.000349709 	6.08578 	6.21094 	0.003 	0.399962 	0.4511	 357.907121
37 	6.21941 	6.08775 	0.0189732 	0.000323036 	6.08775 	6.21941 	0.003 	0.399982 	0.450938	 407.577005
38 	6.23683 	6.09011 	0.0185277 	0.00030722 	6.09011 	6.23683 	0.003 	0.399986 	0.45013	 477.585342
39 	6.26355 	6.10335 	0.0173706 	0.000267996 	6.10335 	6.26355 	0.003 	0.399945 	0.448691	 597.770265
40 	6.27806 	6.12934 	0.0160193 	0.000225578 	6.12934 	6.27806 	0.003 	0.399867 	0.448746	 659.271037
41 	6.34956 	6.12503 	0.0161565 	0.00022972 	6.12503 	6.34956 	0.003 	0.399997 	0.447323	 977.428486
42 	6.3505 	6.16226 	0.0148777 	0.00019259 	6.16226 	6.3505 	0.003 	0.399802 	0.447493	 977.428486
