#1:iter	2:compliance	3:duration	4:volume
0 	171.747 	0 	0.5
1 	125.016 	0 	0.471675
2 	92.4285 	0 	0.487153
3 	77.4106 	0 	0.491965
4 	69.8083 	0 	0.495352
5 	65.1209 	0 	0.496809
6 	61.9459 	0 	0.497801
7 	59.2983 	0 	0.497507
8 	56.5094 	0 	0.497191
9 	54.0003 	0 	0.49751
10 	51.7903 	0 	0.497428
11 	50.0667 	0 	0.49804
12 	48.8074 	0 	0.498483
13 	47.6048 	0 	0.498268
14 	46.525 	0 	0.498366
15 	45.6269 	0 	0.498598
16 	44.7219 	0 	0.498434
17 	43.8783 	0 	0.498814
18 	43.3696 	0 	0.499168
19 	43.0596 	0 	0.499644
20 	42.9263 	0 	0.4998
