#1:iter	2:compliance	3:duration	4:volume	5:lambda	6:lambda_iters
0 	170.046 	0.114 	0.5 	-1 	-1
1 	108.007 	0.005 	0.5 	636.059 	24
2 	78.2358 	0.005 	0.500001 	521.369 	14
3 	64.0999 	0.005 	0.5 	380.57 	19
4 	56.9107 	0.005 	0.5 	295.799 	19
5 	51.5982 	0.005 	0.500001 	242.843 	17
6 	48.5431 	0.005 	0.499999 	196.394 	17
7 	46.6568 	0.005 	0.5 	164.123 	17
8 	45.3019 	0.006 	0.500001 	142.653 	16
9 	44.1977 	0.005 	0.499999 	124.995 	10
10 	43.2004 	0.004 	0.499999 	112.198 	15
11 	42.3369 	0.005 	0.499999 	103.694 	17
12 	41.7333 	0.005 	0.5 	95.7684 	17
13 	41.3149 	0.005 	0.5 	94.1151 	17
14 	41.0387 	0.006 	0.5 	94.5934 	14
15 	40.8428 	0.005 	0.5 	96.0699 	14
16 	40.7008 	0.005 	0.5 	96.0469 	16
17 	40.5952 	0.005 	0.499999 	96.381 	12
18 	40.5153 	0.006 	0.499999 	96.777 	16
19 	40.4542 	0.005 	0.5 	96.9863 	16
20 	40.4069 	0.006 	0.5 	97.0906 	15
