#1:iter	2:compliance	3:duration	4:volume	5:lambda	6:lambda_iters	7:lower	8:upper
0 	83.6417 	0.138 	0.5 	0 	0 	0 	0
1 	53.9293 	0.004 	0.5 	347.015 	25 	347.015 	347.018
2 	40.6026 	0.004 	0.5 	283.095 	17 	283.091 	283.095
3 	33.6502 	0.004 	0.5 	220.013 	18 	220.011 	220.013
4 	29.7383 	0.003 	0.5 	174.573 	18 	174.572 	174.573
5 	27.2273 	0.004 	0.500001 	144.414 	17 	144.414 	144.416
6 	25.9085 	0.004 	0.5 	118.016 	16 	118.013 	118.016
7 	25.1996 	0.003 	0.500001 	105.677 	16 	105.677 	105.679
8 	24.7623 	0.004 	0.5 	99.1597 	16 	99.1573 	99.1597
9 	24.4417 	0.004 	0.499999 	96.6283 	15 	96.6238 	96.6283
10 	24.208 	0.004 	0.5 	93.7325 	13 	93.7149 	93.7325
