#1:iter	2:compliance	3:duration	4:volume	5:greyness	6:lambda	7:lambda_iters	8:beta	9:move_limit
0 	87.3866 	0.103 	0.500074 	0.999999 	-1 	-1	 1.000000	 0.155227
1 	60.6349 	0.006 	0.5 	0.96792 	366.78 	25	 1.000000	 0.155227
2 	49.2084 	0.004 	0.500001 	0.905369 	318.904 	15	 1.200000	 0.153152
3 	42.1713 	0.004 	0.5 	0.842399 	279.389 	18	 1.440000	 0.150198
4 	37.6506 	0.005 	0.499999 	0.788524 	237.115 	19	 1.728000	 0.146034
5 	34.4763 	0.004 	0.5 	0.733351 	204.682 	18	 2.073600	 0.140261
6 	31.911 	0.005 	0.500001 	0.676702 	182.087 	15	 2.488320	 0.132479
7 	29.6963 	0.004 	0.500001 	0.619511 	163.007 	14	 2.985984	 0.122453
8 	27.6956 	0.004 	0.499999 	0.561009 	146.36 	19	 3.583181	 0.110354
9 	25.8581 	0.005 	0.5 	0.500251 	130.037 	19	 4.299817	 0.096911
10 	24.1806 	0.005 	0.5 	0.437329 	114.37 	19	 5.159780	 0.083239
11 	22.7098 	0.005 	0.5 	0.375606 	99.7738 	19	 6.191736	 0.070391
12 	21.4716 	0.004 	0.5 	0.316428 	86.2813 	19	 7.430084	 0.059002
13 	20.4437 	0.005 	0.500001 	0.262251 	74.5733 	18	 8.916100	 0.049260
14 	19.6139 	0.005 	0.5 	0.212344 	64.2823 	17	 10.699321	 0.041068
15 	18.9589 	0.005 	0.500001 	0.167834 	56.4524 	17	 12.839185	 0.034226
16 	18.4579 	0.004 	0.5 	0.129166 	49.7716 	16	 15.407022	 0.028522
17 	18.0802 	0.004 	0.5 	0.0966553 	43.7491 	17	 18.488426	 0.023769
18 	17.8033 	0.005 	0.5 	0.0700708 	40.0524 	17	 22.186111	 0.019807
19 	17.6151 	0.005 	0.499999 	0.0506014 	40.5744 	16	 26.623333	 0.016506
20 	17.4996 	0.005 	0.5 	0.0378404 	42.5428 	16	 31.948000	 0.013755
21 	17.4951 	0.004 	0.500001 	0.037074 	41.4128 	16	 31.948000	 0.013755
