#1:iter	2:slack	3:duration	4:compliance_t_0	5:compliance_t_1.57	6:volume_t_1.57
0 	30 	0.237 	18.6615 	18.6615 	0.5
1 	18.423 	0.008 	12.7725 	13.8718 	0.463072
2 	12.5703 	0.003 	9.8697 	10.0813 	0.489955
3 	9.5632 	0.002 	8.98329 	8.98407 	0.49653
4 	8.61527 	0.002 	8.49581 	8.46537 	0.497608
5 	8.14461 	0.002 	8.05418 	8.04546 	0.497559
6 	7.72232 	0.002 	7.62278 	7.5978 	0.496997
7 	7.24717 	0.066 	7.14825 	7.14971 	0.496865
8 	6.80941 	0.007 	6.70882 	6.73867 	0.497018
9 	6.47605 	0.078 	6.39245 	6.41036 	0.497539
10 	6.13426 	0.007 	6.04195 	6.03723 	0.496378
11 	5.75805 	0.008 	5.7023 	5.68735 	0.496841
12 	5.51062 	0.007 	5.47067 	5.46159 	0.497363
13 	5.33585 	0.007 	5.30404 	5.2768 	0.497318
14 	5.18482 	0.005 	5.1598 	5.16486 	0.49841
15 	5.10307 	0.004 	5.06129 	5.06763 	0.49821
16 	5.00311 	0.003 	4.99315 	4.99717 	0.49919
17 	4.97642 	0.003 	4.97403 	4.97318 	0.499656
18 	4.96304 	0.003 	4.96135 	4.96022 	0.499735
19 	4.95202 	0.002 	4.95062 	4.94917 	0.499767
20 	4.94187 	0.003 	4.94069 	4.93873 	0.499777
