#1:iter	2:slack	3:duration	4:compliance_f_0_t_0	5:compliance_f_1_t_0	6:compliance_f_0_t_1.57	7:compliance_f_1_t_1.57	8:volume_f_1_t_1.57
0 	30 	0.28 	3.18073 	2400.13 	3.18073 	2400.13 	0.0990544
1 	15.4359 	0.106 	2.38935 	13.0764 	2.39411 	18.9695 	0.437594
2 	9.45089 	0.011 	2.37633 	8.05345 	2.3957 	12.4946 	0.488332
3 	7.11772 	0.009 	2.37626 	7.4971 	2.38348 	9.97549 	0.488232
4 	6.20698 	0.006 	2.38517 	6.55285 	2.39584 	8.51112 	0.494278
5 	6.00481 	0.005 	2.39387 	6.04654 	2.4433 	7.6185 	0.497147
6 	5.95243 	0.015 	2.40839 	5.87337 	2.48806 	6.89491 	0.497432
7 	5.85626 	0.006 	2.42814 	5.76195 	2.52269 	6.19863 	0.497122
8 	5.67113 	0.004 	2.45239 	5.57627 	2.5443 	5.62458 	0.49662
9 	5.30045 	0.092 	2.49845 	5.22013 	2.58812 	5.17885 	0.496519
10 	4.94607 	0.016 	2.59573 	4.89396 	2.68347 	4.88232 	0.497868
11 	4.78648 	0.04 	2.67561 	4.76666 	2.77945 	4.75918 	0.498465
12 	4.715 	0.013 	2.73261 	4.70522 	2.8169 	4.7036 	0.499172
13 	4.67367 	0.008 	2.7824 	4.66682 	2.84851 	4.66313 	0.499296
14 	4.64355 	0.005 	2.80437 	4.63969 	2.857 	4.63989 	0.499703
15 	4.62954 	0.005 	2.81872 	4.62689 	2.85913 	4.62699 	0.499796
