#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
1	1.71086e-06	1	1
2	5.71565e-06	0.00373469	1
3	9.99104e-07	0.0192089	1
4	2.01813e-07	0.00304822	1
5	4.18491e-08	0.000608783	1
1	8.6325e-07	1	1
2	9.23646e-08	0.000915582	1
1	8.38686e-07	1	1
2	8.10661e-08	0.000623041	1
1	7.72537e-07	1	1
2	8.82223e-08	0.000335734	1
1	8.22088e-07	1	1
2	1.087e-07	0.000261803	1
1	9.0716e-07	1	1
2	1.34974e-07	0.000228308	1
1	1.01761e-06	1	1
2	1.67595e-07	0.000211005	1
1	1.15274e-06	1	1
2	2.07243e-07	0.000201892	1
1	1.31279e-06	1	1
2	2.54151e-07	0.000197757	1
1	1.49796e-06	1	1
2	3.08354e-07	0.000196954	1
1	1.70828e-06	1	1
2	3.69801e-07	0.000198526	1
1	1.9437e-06	1	1
2	4.3841e-07	0.00020186	1
1	2.20416e-06	1	1
2	5.141e-07	0.00020654	1
1	2.48958e-06	1	1
2	5.96797e-07	0.000212272	1
1	2.77698e-06	1	1
2	6.88121e-07	0.000214704	1
1	3.07348e-06	1	1
2	7.71493e-07	0.000215896	1
1	3.39057e-06	1	1
2	8.60243e-07	0.000217746	1
1	3.72178e-06	1	1
2	9.59468e-07	0.00021918	1
1	4.05223e-06	1	1
2	1.05573e-06	0.000218206	1
1	4.39766e-06	1	1
2	1.14649e-06	0.000217294	1
1	4.76459e-06	1	1
2	1.24193e-06	0.000217263	1
1	5.10678e-06	1	1
2	1.3494e-06	0.000217221	1
1	5.42007e-06	1	1
2	1.43108e-06	0.000216965	1
1	5.73638e-06	1	1
2	1.51371e-06	0.000216852	1
1	6.06405e-06	1	1
2	1.59833e-06	0.000216932	1
1	6.36005e-06	1	1
2	1.70486e-06	0.000216523	1
1	6.61927e-06	1	1
2	1.77037e-06	0.000215718	1
1	6.87456e-06	1	1
2	1.83483e-06	0.00021501	1
1	7.13473e-06	1	1
2	1.89936e-06	0.00021446	1
1	7.39868e-06	1	1
2	1.96362e-06	0.00021405	1
1	7.66694e-06	1	1
2	2.02768e-06	0.000213778	1
1	7.93964e-06	1	1
2	2.09154e-06	0.00021364	1
1	8.21704e-06	1	1
2	2.15519e-06	0.000213632	1
1	8.49934e-06	1	1
2	2.21864e-06	0.00021375	1
1	8.78678e-06	1	1
2	2.2819e-06	0.000213991	1
1	9.07959e-06	1	1
2	2.34497e-06	0.000214351	1
1	9.37797e-06	1	1
2	2.40786e-06	0.000214827	1
1	9.68216e-06	1	1
2	2.47056e-06	0.000215415	1
1	9.99236e-06	1	1
2	2.53309e-06	0.000216114	1
1	1.03088e-05	1	1
2	2.59545e-06	0.00021692	1
1	1.06317e-05	1	1
2	2.65763e-06	0.000217829	1
1	1.09612e-05	1	1
2	2.71964e-06	0.00021884	1
1	1.12976e-05	1	1
2	2.78149e-06	0.00021995	1
1	1.16411e-05	1	1
2	2.84316e-06	0.000221155	1
1	1.19919e-05	1	1
2	2.90467e-06	0.000222454	1
1	1.23501e-05	1	1
2	2.96602e-06	0.000223843	1
1	1.27161e-05	1	1
2	3.02719e-06	0.000225321	1
1	1.30899e-05	1	1
2	3.0882e-06	0.000226884	1
1	1.34718e-05	1	1
2	3.14904e-06	0.000228532	1
1	1.38547e-05	1	1
2	3.21651e-06	0.000229974	1
1	1.42296e-05	1	1
2	3.2959e-06	0.000230976	1
1	1.46063e-05	1	1
2	3.35899e-06	0.000232021	1
1	1.49907e-05	1	1
2	3.40971e-06	0.00023314	1
1	1.53821e-05	1	1
2	3.45984e-06	0.00023431	1
1	1.57809e-05	1	1
2	3.50945e-06	0.00023554	1
1	1.61871e-05	1	1
2	3.55852e-06	0.000236825	1
1	1.6601e-05	1	1
2	3.60706e-06	0.000238166	1
1	1.70228e-05	1	1
2	3.65506e-06	0.000239561	1
1	1.74525e-05	1	1
2	3.70251e-06	0.000241008	1
1	1.78905e-05	1	1
2	3.74942e-06	0.000242507	1
1	1.83197e-05	1	1
2	3.81319e-06	0.000243489	1
1	1.87479e-05	1	1
2	3.87702e-06	0.000244448	1
1	1.91847e-05	1	1
2	3.93425e-06	0.000245477	1
1	1.96299e-05	1	1
2	3.96789e-06	0.000246549	1
1	2.00837e-05	1	1
2	4.00078e-06	0.00024768	1
1	2.05464e-05	1	1
2	4.03295e-06	0.00024886	1
1	1.86198e-05	1	1
2	3.05037e-06	0.000218712	1
1	3.20333e-05	1	1
2	7.85844e-06	0.000389805	1
1	6.2196e-05	1	1
2	1.45349e-05	0.000852136	1
1	8.40331e-05	1	1
2	1.61513e-05	0.00123837	1
3	4.27894e-06	0.000280776	1
1	0.000112919	1	1
2	1.96069e-05	0.00168283	1
3	4.63918e-06	0.000344192	1
1	0.000147971	1	1
2	2.16039e-05	0.00207268	1
3	4.3278e-06	0.00035302	1
1	0.000203457	1	1
2	2.32875e-05	0.00255858	1
3	3.66819e-06	0.00032847	1
1	0.000286416	1	1
2	2.25497e-05	0.00308768	1
3	2.40764e-06	0.000243328	1
1	0.000406391	1	1
2	2.33015e-05	0.00356365	1
3	9.24042e-07	0.000131828	1
1	0.000565326	1	1
2	4.53345e-05	0.00376782	1
3	4.87636e-06	0.000201898	1
1	0.000741935	1	1
2	7.86569e-05	0.00348657	1
3	1.21358e-05	0.000267075	1
1	0.000899356	1	1
2	7.98996e-05	0.00301195	1
3	1.04631e-05	0.000222488	1
1	0.00102419	1	1
2	3.84822e-05	0.0031175	1
3	3.65229e-06	8.09463e-05	1
1	0.00109477	1	1
2	0.00011368	0.00362282	1
3	1.60044e-05	0.000407751	1
1	0.00109385	1	1
2	0.000218827	0.00390466	1
3	5.69762e-05	0.000837157	1
1	0.00105231	1	1
2	0.000282974	0.00388624	1
3	0.000100819	0.00118661	1
4	3.78293e-05	0.000402253	1
1	0.00100067	1	1
2	0.000325983	0.00378559	1
3	0.000140913	0.00144559	1
4	6.41256e-05	0.000598385	1
1	0.000925588	1	1
2	0.000337381	0.00350916	1
3	0.000164377	0.00155919	1
4	8.44372e-05	0.000735044	1
1	0.000852274	1	1
2	0.00033953	0.00321477	1
3	0.000179681	0.00158979	1
4	0.000100211	0.000821225	1
1	0.000784276	1	1
2	0.000334871	0.00292714	1
3	0.000188075	0.00156607	1
4	0.000111251	0.000865476	1
1	0.000721538	1	1
2	0.000325611	0.00265786	1
3	0.000191315	0.00150982	1
4	0.000118302	0.000878805	1
1	0.000664707	1	1
2	0.000313227	0.00240921	1
3	0.000190636	0.00143418	1
4	0.000122041	0.000869776	1
1	0.000611931	1	1
2	0.00029792	0.00218012	1
3	0.000186416	0.00134688	1
4	0.000122677	0.000844263	1
1	0.000563145	1	1
2	0.000280534	0.00196653	1
3	0.000179434	0.00125171	1
4	0.000120753	0.000806191	1
1	0.000513528	1	1
2	0.000263642	0.00174728	1
3	0.00017192	0.00115694	1
4	0.00011818	0.000774888	1
1	0.000466202	1	1
2	0.000241631	0.00153216	1
3	0.000163717	0.00105396	1
4	0.000117592	0.000741492	1
1	0.000417217	1	1
2	0.000221068	0.00132604	1
3	0.000152221	0.000951639	1
1	0.000383646	1	1
2	0.000216435	0.00125321	1
3	0.000154057	0.000922569	1
1	0.000329671	1	1
2	0.000190986	0.00106229	1
3	0.000138284	0.000791686	1
1	0.000279984	1	1
2	0.000165357	0.000882637	1
1	0.000240893	1	1
2	0.00015777	0.000823268	1
1	0.000181126	1	1
2	0.000123779	0.000641561	1
1	0.000118485	1	1
2	8.39335e-05	0.00044349	1
1	6.12614e-05	1	1
2	4.66686e-05	0.00024092	1
1	2.42994e-05	1	1
2	2.14654e-05	7.30212e-05	1
1	4.74076e-05	1	1
