0  -nan  -nan
0.0048  712.871  -293.569
0.0096  711.467  -291.222
0.0144  710.075  -288.912
0.0192  708.694  -286.635
0.024  707.323  -284.391
0.0288  705.964  -282.181
0.0336  704.635  -280.638
0.0384  703.276  -277.855
0.0432  702.01  -277.255
0.048  700.628  -273.651
0.0528  699.434  -273.848
0.0576  698.033  -269.771
0.0624  696.732  -267.563
0.0672  695.491  -266.192
0.072  694.182  -263.643
0.0768  692.996  -262.747
0.0816  691.677  -259.928
0.0864  690.542  -259.38
0.0912  689.22  -256.426
0.096  688.127  -256.059
0.1008  686.805  -253.067
0.1056  685.55  -250.784
0.1104  684.43  -249.81
0.1152  683.174  -247.44
0.12  682.092  -246.634
0.1248  680.838  -244.221
0.1296  679.634  -242.24
0.1344  678.538  -241.103
0.1392  677.336  -239.067
0.144  676.178  -237.343
0.1488  675.075  -236.004
0.1536  673.918  -234.227
0.1584  672.847  -233.035
0.1632  671.693  -231.224
0.168  670.653  -230.146
0.1728  669.503  -228.318
0.1776  668.387  -226.694
0.1824  667.345  -225.497
0.1872  666.233  -223.854
0.192  665.217  -222.753
0.1968  664.11  -221.1
0.2016  663.033  -219.6
0.2064  662.017  -218.423
0.2112  660.944  -216.913
0.216  659.953  -215.816
0.2208  658.885  -214.303
0.2256  657.843  -212.907
0.2304  656.855  -207.92
0.2352  655.851  -198.593
0.24  654.914  -189.917
0.2448  654.025  -181.778
0.2496  653.173  -174.096
0.2544  652.352  -166.826
0.2592  651.57  -159.976
0.264  650.819  -153.49
0.2688  650.095  -147.339
0.2736  649.404  -141.519
0.2784  648.735  -135.983
0.2832  648.097  -130.742
0.288  647.482  -125.756
0.2928  646.889  -121.004
0.2976  646.32  -116.49
0.3024  645.769  -112.176
0.3072  645.242  -108.077
0.312  644.734  -104.16
0.3168  644.241  -100.414
0.3216  643.769  -96.8413
0.3264  643.31  -93.414
0.3312  642.872  -90.1468
0.336  642.447  -87.0145
0.3408  642.035  -84.0074
0.3456  641.64  -81.1317
0.3504  641.255  -78.3633
0.3552  640.887  -75.717
0.36  640.531  -73.1722
0.3648  640.184  -70.7218
0.3696  639.851  -68.3722
0.3744  639.527  -66.1036
0.3792  639.216  -63.9298
0.384  638.915  -61.8339
0.3888  638.622  -59.8103
0.3936  638.341  -57.8656
0.3984  638.065  -55.9829
0.4032  637.803  -54.1752
0.408  637.547  -52.4281
0.4128  637.298  -50.7372
0.4176  637.06  -49.1091
0.4224  636.826  -47.5291
0.4272  636.603  -46.0093
0.432  636.386  -44.5374
0.4368  636.175  -43.1099
0.4416  635.972  -41.7328
0.4464  635.773  -40.3936
0.4512  635.584  -39.1034
0.456  635.4  -37.8514
0.4608  635.22  -36.6349
0.4656  635.048  -35.4595
0.4704  634.879  -34.3142
0.4752  634.718  -31.2708
0.48  634.582  -26.7027
0.4848  634.455  -22.2162
0.4896  634.367  -17.8504
0.4944  634.276  -13.5418
0.4992  634.234  -9.35923
0.504  634.203  -5.24796
0.5088  634.178  -1.19784
0.5136  634.19  2.75299
0.5184  634.197  6.6623
0.5232  634.251  10.4665
0.528  634.314  14.2154
0.5328  634.382  17.9178
0.5376  634.485  21.5383
0.5424  634.581  25.1297
0.5472  634.723  28.6333
0.552  634.873  32.0944
0.5568  635.025  35.5209
0.5616  635.212  38.88
0.5664  635.391  42.2198
0.5712  635.614  45.4864
0.576  635.845  48.721
0.5808  636.077  51.9306
0.5856  636.342  55.0852
0.5904  636.598  58.2286
0.5952  636.897  61.3112
0.6  637.203  64.3706
0.6048  637.51  67.4132
0.6096  637.849  70.4113
0.6144  638.178  73.4049
0.6192  638.551  76.3486
0.624  638.929  79.2766
0.6288  639.306  82.1949
0.6336  639.716  85.0779
0.6384  640.115  87.9621
0.6432  640.557  90.8061
0.648  641.004  93.6411
0.6528  641.451  96.4723
0.6576  641.929  99.2767
0.6624  642.396  102.087
0.6672  642.906  104.867
0.672  643.42  107.643
0.6768  643.933  110.421
0.6816  644.479  113.18
0.6864  645.012  115.949
0.6912  645.589  118.696
0.696  646.17  121.445
0.7008  646.749  124.201
0.7056  647.361  126.945
0.7104  647.959  129.821
0.7152  648.605  133.919
0.72  649.264  138.036
0.7248  649.922  142.176
0.7296  650.627  146.332
0.7344  651.315  150.518
0.7392  652.067  154.725
0.744  652.826  158.963
0.7488  653.584  163.234
0.7536  654.392  167.537
0.7584  655.18  171.879
0.7632  656.036  176.26
0.768  656.9  180.684
0.7728  657.762  185.153
0.7776  658.676  189.672
