#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
1	0.000751369	1	1
2	6.50834e-05	0.359403	0.841955
3	3.20561e-06	0.00297293	1
1	0.00027065	0.408792	1
2	8.60589e-06	0.0560025	0.986342
1	0.000249908	0.275311	1
2	5.80723e-06	0.0351417	1
1	0.000256245	0.205479	1
2	9.44129e-06	0.0281952	0.999024
1	0.000224431	0.161035	1
2	1.13541e-05	0.0188025	0.996098
3	2.07909e-06	0.000797154	1
1	0.000209332	0.130877	1
2	1.159e-05	0.0145283	1
3	2.49057e-06	0.000931477	1
1	0.000197137	0.108115	1
2	2.03283e-05	0.0127978	0.996098
3	3.76121e-06	0.00146863	1
1	0.000175072	0.0898955	0.990244
2	1.41046e-05	0.0108754	1
3	3.09326e-06	0.00141257	1
1	0.000157115	0.0748622	0.984391
2	1.25542e-05	0.00909902	1
3	3.96943e-06	0.0012394	1
1	0.000141298	0.0618718	0.988293
2	1.25828e-05	0.00809005	1
3	4.26088e-06	0.0012193	1
1	0.0001312	0.050281	0.983415
2	1.21839e-05	0.00733573	1
3	5.53486e-06	0.00166757	1
1	0.000180545	0.0398327	0.964879
2	1.1834e-05	0.00623026	1
3	6.33759e-06	0.0018612	1
1	0.000181355	0.0299005	0.961952
2	1.05698e-05	0.00513562	1
3	6.45886e-06	0.00195277	1
1	0.000156376	0.0204239	0.964879
2	9.62521e-06	0.00434311	1
1	8.74809e-05	0.0117931	0.977562
2	9.96293e-06	0.00380533	1
1	1.40312e-05	0.00406048	1
2	1.52648e-05	0.00283969	1
3	9.61469e-06	0.00218388	1
1	7.10389e-05	0.0082617	1
2	1.02733e-05	0.0060724	1
3	2.41994e-06	0.00067461	1
1	0.000167147	0.0165821	1
2	1.07348e-05	0.0117631	1
3	2.17936e-06	0.000392204	1
1	0.000249231	0.0263981	1
2	9.66628e-06	0.0180236	1
1	0.00032693	0.0374192	1
2	7.434e-06	0.0250165	1
1	0.000373014	0.0501555	1
2	0.000121608	0.029837	0.955123
3	3.04683e-06	0.000829084	1
1	0.00032192	0.0653417	1
2	0.000106959	0.0244625	0.938538
3	2.46858e-06	0.000833166	1
1	0.000254278	0.0831534	1
2	4.0602e-05	0.0200337	0.973659
3	1.73021e-06	0.000517482	1
1	0.000226148	0.104991	1
2	4.88524e-06	0.0181712	1
1	0.000232155	0.133063	1
2	3.98696e-06	0.0213793	0.999024
1	0.000233357	0.172284	1
2	2.81114e-06	0.0256501	0.999024
1	0.000232706	0.231933	1
2	1.83546e-06	0.0323606	0.999024
1	0.000233523	0.336404	1
2	1.85319e-06	0.0451777	0.999024
1	0.000238563	0.574292	1
2	3.89659e-06	0.0780623	0.998049
1	0.000210824	1.72396	1
2	8.76058e-06	0.195688	0.984391
1	0.000210573	1.9291	1
2	6.02568e-06	0.144293	1
1	0.000214619	0.632065	1
2	8.56277e-06	0.0472869	1
1	0.000222387	0.379407	1
2	8.15126e-06	0.0286914	1
1	0.00022071	0.269872	1
2	1.09824e-05	0.0215632	1
