#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
1	0.00222296	1.04485	0.957074
2	0.000204747	0.0764022	0.913173
3	1.72092e-05	0.00731954	0.996098
4	8.62819e-07	0.000255455	0.992195
5	2.00836e-08	5.48022e-06	1
6	4.80575e-10	1.76536e-07	1
7	1.73819e-12	1.56183e-09	0.998049
8	1.14668e-14	2.99729e-10	0.960977
9	3.16335e-16	1.80368e-10	0.691715
10	1.16659e-16	8.76639e-12	0.903417
11	9.22904e-17	7.36518e-11	0.282944
12	6.5242e-20	1.46488e-11	0.117095
13	4.65259e-18	5.49629e-11	0.001
14	2.18447e-14	1.16161e-09	0.001
15	2.10043e-14	5.40499e-10	0.996098
16	2.52072e-16	3.92222e-11	0.0653887
17	4.39202e-16	4.11503e-10	0.751226
18	7.48156e-16	7.04051e-11	0.677081
19	5.07955e-17	1.96702e-11	0.0878271
20	3.76703e-17	1.38622e-10	0.801956
21	1.60562e-16	1.2991e-11	0.54245
22	4.86333e-17	1.90711e-11	0.176605
23	7.47579e-17	9.49123e-11	0.187337
24	5.26017e-18	3.45752e-11	0.00490234
25	1.27082e-14	9.25802e-10	0.001
26	6.90509e-15	2.05582e-11	0.726836
27	1.87882e-15	2.6037e-10	0.390259
28	1.53947e-15	1.12409e-10	0.452696
29	9.22233e-16	1.23228e-10	0.340504
30	5.21914e-17	7.56066e-11	0.0370967
