#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
1	0.00596331	1.03222	0.968781
2	0.00279722	0.268229	1
3	0.000773304	0.126828	1
4	0.000688522	0.325646	0.115144
5	0.000688034	0.337801	0.001
6	0.000675183	0.601557	0.0731934
7	0.000635647	0.390098	0.114168
8	0.000635335	0.709666	0.001
9	0.000559196	2.12693	0.0868516
10	0.000282603	0.153016	0.86732
11	0.000143415	0.0916523	0.5005
12	0.000114847	0.107765	0.31709
13	6.31179e-05	0.0517142	0.609766
14	5.74267e-05	0.0456132	0.593181
15	4.39661e-05	0.051281	1
16	4.26486e-05	0.0473264	1
17	2.94872e-05	0.0401642	1
18	1.8428e-05	0.0272568	1
19	5.84901e-06	0.00909416	1
