#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
1	414110	10	0.1
2	5.72923e+06	6.02551	0.1
3	30825.9	0.54917	1
4	20881	0.00112297	1
5	297651	0.199701	0.1
6	16576.3	0.0194586	1
7	16397.3	0.00161089	1
8	80896.9	0.0770667	0.1
9	19830.9	0.00621997	0.5
10	6327.2	0.00253237	1
11	3961.23	0.00206537	1
12	1659.24	0.000924046	0.5
13	433.326	0.000490173	1
14	66.1491	0.000122248	1
15	6.48995	8.26691e-06	1
16	0.169284	1.56402e-06	1
17	0.040289	1.5358e-07	1
18	0.00175683	6.3975e-09	1
19	8.2836e-06	1.4492e-10	1
